! Reaction's Kinematics:  Alab & Elab
! 12C + 2H -> 8Be + 6Li     or    2H(12C,8Be)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  27.40 MeV/u;      Grazing angle:  CMS = 1.52 deg;    Lab = 0.37 deg
! Q reaction : -8.92 MeV  (Excitations 0.0+0.0 -> 3.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 8Be	Angle  [Lab-deg]2	Residual - 6Li	
12.074218	29.8023   	24.535772	13.5156   	
12.109519	29.7698   	24.554280	13.5589   	
12.144762	29.7371   	24.572443	13.6024   	
12.179947	29.7044   	24.590260	13.646    	
12.215073	29.6716   	24.607734	13.6896   	
12.250140	29.6387   	24.624866	13.7334   	
12.285149	29.6057   	24.641658	13.7772   	
12.320097	29.5727   	24.658110	13.8212   	
12.354987	29.5396   	24.674224	13.8653   	
12.389816	29.5064   	24.690002	13.9094   	
12.424585	29.4732   	24.705445	13.9537   	
12.459294	29.4399   	24.720555	13.998    	
12.493942	29.4065   	24.735332	14.0424   	
12.528529	29.373    	24.749779	14.087    	
12.563055	29.3395   	24.763896	14.1316   	
12.597519	29.3059   	24.777686	14.1763   	
12.631922	29.2722   	24.791149	14.2212   	
12.666262	29.2384   	24.804286	14.2661   	
12.700540	29.2046   	24.817100	14.3111   	
12.734756	29.1707   	24.829591	14.3562   	
12.768908	29.1368   	24.841762	14.4014   	
12.802997	29.1027   	24.853613	14.4467   	
12.837023	29.0686   	24.865145	14.492    	
12.870985	29.0345   	24.876361	14.5375   	
12.904883	29.0002   	24.887261	14.5831   	
12.938717	28.9659   	24.897846	14.6287   	
12.972486	28.9316   	24.908119	14.6744   	
13.006191	28.8971   	24.918081	14.7203   	
13.039830	28.8626   	24.927732	14.7662   	
13.073403	28.8281   	24.937074	14.8122   	
13.106911	28.7934   	24.946109	14.8583   	
13.140353	28.7587   	24.954838	14.9045   	
13.173729	28.724    	24.963262	14.9507   	
13.207038	28.6891   	24.971383	14.9971   	
13.240280	28.6542   	24.979201	15.0435   	
13.273455	28.6193   	24.986719	15.0901   	
13.306562	28.5843   	24.993937	15.1367   	
13.339602	28.5492   	25.000857	15.1834   	
13.372573	28.514    	25.007480	15.2302   	
13.405476	28.4788   	25.013807	15.277    	
13.438311	28.4435   	25.019840	15.324    	
13.471076	28.4082   	25.025581	15.371    	
13.503773	28.3728   	25.031029	15.4181   	
13.536399	28.3373   	25.036187	15.4653   	
13.568956	28.3018   	25.041056	15.5126   	
13.601443	28.2662   	25.045637	15.5599   	
13.633859	28.2306   	25.049931	15.6074   	
13.666205	28.1949   	25.053940	15.6549   	
13.698479	28.1591   	25.057665	15.7025   	
13.730682	28.1233   	25.061108	15.7502   	
13.762814	28.0874   	25.064268	15.7979   	
13.794873	28.0514   	25.067149	15.8458   	
13.826861	28.0154   	25.069750	15.8937   	
13.858775	27.9794   	25.072074	15.9417   	
13.890617	27.9433   	25.074121	15.9898   	
13.922385	27.9071   	25.075893	16.0379   	
13.954080	27.8709   	25.077391	16.0861   	
13.985702	27.8346   	25.078616	16.1344   	
14.017249	27.7982   	25.079569	16.1828   	
14.048721	27.7618   	25.080252	16.2312   	
14.080119	27.7254   	25.080665	16.2798   	
14.111442	27.6889   	25.080811	16.3283   	
14.142689	27.6523   	25.080690	16.377    	
14.173861	27.6157   	25.080303	16.4257   	
14.204956	27.579    	25.079652	16.4746   	
14.235976	27.5423   	25.078738	16.5234   	
14.266918	27.5055   	25.077562	16.5724   	
14.297784	27.4686   	25.076125	16.6214   	
14.328572	27.4318   	25.074428	16.6705   	
14.359283	27.3948   	25.072473	16.7197   	
14.389915	27.3578   	25.070260	16.7689   	
14.420470	27.3208   	25.067791	16.8182   	
14.450945	27.2837   	25.065068	16.8676   	
14.481342	27.2465   	25.062090	16.917    	
14.511660	27.2093   	25.058860	16.9665   	
14.541898	27.1721   	25.055378	17.0161   	
14.572056	27.1348   	25.051646	17.0657   	
14.602133	27.0974   	25.047664	17.1154   	
14.632131	27.06     	25.043435	17.1652   	
14.662047	27.0226   	25.038958	17.215    	
14.691882	26.9851   	25.034236	17.2649   	
14.721635	26.9476   	25.029269	17.3149   	
14.751307	26.91     	25.024058	17.3649   	
14.780896	26.8723   	25.018605	17.415    	
14.810402	26.8347   	25.012910	17.4652   	
14.839826	26.7969   	25.006975	17.5154   	
14.869166	26.7591   	25.000801	17.5657   	
14.898423	26.7213   	24.994388	17.616    	
14.927595	26.6835   	24.987739	17.6664   	
14.956684	26.6455   	24.980853	17.7168   	
14.985688	26.6076   	24.973733	17.7674   	
15.014606	26.5696   	24.966379	17.8179   	
15.043440	26.5315   	24.958792	17.8686   	
15.072187	26.4935   	24.950973	17.9192   	
15.100849	26.4553   	24.942924	17.97     	
15.129424	26.4172   	24.934645	18.0208   	
15.157912	26.3789   	24.926138	18.0717   	
15.186314	26.3407   	24.917403	18.1226   	
15.214627	26.3024   	24.908442	18.1735   	
15.242853	26.264    	24.899255	18.2246   	
15.270991	26.2257   	24.889844	18.2757   	
15.299040	26.1872   	24.880210	18.3268   	
15.327001	26.1488   	24.870354	18.378    	
15.354872	26.1103   	24.860276	18.4292   	
15.382654	26.0717   	24.849978	18.4805   	
15.410345	26.0332   	24.839461	18.5319   	
15.437946	25.9945   	24.828725	18.5832   	
15.465457	25.9559   	24.817772	18.6347   	
15.492876	25.9172   	24.806603	18.6862   	
15.520204	25.8785   	24.795219	18.7377   	
15.547440	25.8397   	24.783620	18.7893   	
15.574584	25.8009   	24.771809	18.841    	
15.601636	25.762    	24.759785	18.8927   	
15.628595	25.7232   	24.747549	18.9444   	
15.655460	25.6842   	24.735103	18.9962   	
15.682231	25.6453   	24.722448	19.048    	
15.708909	25.6063   	24.709585	19.0999   	
15.735492	25.5673   	24.696514	19.1518   	
15.761981	25.5282   	24.683237	19.2038   	
15.788374	25.4892   	24.669754	19.2558   	
15.814672	25.45     	24.656066	19.3079   	
15.840873	25.4109   	24.642175	19.36     	
15.866979	25.3717   	24.628081	19.4121   	
15.892988	25.3325   	24.613785	19.4643   	
15.918899	25.2932   	24.599289	19.5166   	
15.944714	25.254    	24.584593	19.5688   	
15.970430	25.2147   	24.569697	19.6212   	
15.996048	25.1753   	24.554604	19.6735   	
16.021568	25.1359   	24.539313	19.7259   	
16.046989	25.0965   	24.523826	19.7783   	
16.072310	25.0571   	24.508144	19.8308   	
16.097531	25.0177   	24.492268	19.8833   	
16.122652	24.9782   	24.476198	19.9359   	
16.147673	24.9387   	24.459935	19.9885   	
16.172593	24.8991   	24.443480	20.0411   	
16.197411	24.8596   	24.426835	20.0938   	
16.222127	24.82     	24.409999	20.1465   	
16.246742	24.7803   	24.392975	20.1992   	
16.271254	24.7407   	24.375762	20.252    	
16.295662	24.701    	24.358362	20.3048   	
16.319968	24.6613   	24.340775	20.3576   	
16.344169	24.6216   	24.323003	20.4105   	
16.368267	24.5818   	24.305046	20.4634   	
16.392260	24.5421   	24.286905	20.5163   	
16.416147	24.5023   	24.268581	20.5693   	
16.439930	24.4624   	24.250075	20.6223   	
16.463606	24.4226   	24.231387	20.6753   	
16.487177	24.3827   	24.212519	20.7283   	
16.510640	24.3428   	24.193471	20.7814   	
16.533997	24.3029   	24.174244	20.8346   	
16.557246	24.263    	24.154839	20.8877   	
16.580387	24.223    	24.135257	20.9409   	
16.603420	24.1831   	24.115499	20.9941   	
16.626344	24.1431   	24.095565	21.0473   	
16.649159	24.103    	24.075456	21.1006   	
16.671864	24.063    	24.055173	21.1538   	
16.694460	24.023    	24.034717	21.2071   	
16.716945	23.9829   	24.014088	21.2605   	
16.739319	23.9428   	23.993288	21.3138   	
16.761581	23.9027   	23.972318	21.3672   	
16.783732	23.8626   	23.951177	21.4206   	
16.805771	23.8224   	23.929867	21.474    	
16.827698	23.7823   	23.908389	21.5275   	
16.849511	23.7421   	23.886743	21.581    	
16.871211	23.7019   	23.864930	21.6344   	
16.892797	23.6617   	23.842951	21.688    	
16.914268	23.6215   	23.820806	21.7415   	
16.935625	23.5812   	23.798497	21.795    	
