! Reaction's Kinematics:  Alab & Elab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 10C	Angle  [Lab-deg]2	Residual - 6Li	
12.859719	34.6808   	26.708309	23.7183   	
12.884319	34.6372   	26.699380	23.791    	
12.908838	34.5935   	26.690207	23.8637   	
12.933277	34.5498   	26.680789	23.9365   	
12.957636	34.506    	26.671129	24.0094   	
12.981913	34.4622   	26.661228	24.0824   	
13.006109	34.4183   	26.651086	24.1554   	
13.030224	34.3744   	26.640706	24.2286   	
13.054256	34.3304   	26.630087	24.3018   	
13.078207	34.2864   	26.619231	24.3751   	
13.102075	34.2423   	26.608140	24.4485   	
13.125860	34.1982   	26.596815	24.522    	
13.149562	34.154    	26.585257	24.5956   	
13.173180	34.1098   	26.573466	24.6693   	
13.196715	34.0655   	26.561445	24.743    	
13.220166	34.0211   	26.549193	24.8168   	
13.243532	33.9768   	26.536714	24.8907   	
13.266813	33.9323   	26.524006	24.9647   	
13.290010	33.8879   	26.511073	25.0387   	
13.313121	33.8434   	26.497914	25.1129   	
13.336146	33.7988   	26.484530	25.1871   	
13.359086	33.7542   	26.470924	25.2613   	
13.381939	33.7095   	26.457096	25.3357   	
13.404705	33.6648   	26.443048	25.4101   	
13.427384	33.6201   	26.428779	25.4846   	
13.449977	33.5753   	26.414292	25.5592   	
13.472481	33.5305   	26.399587	25.6338   	
13.494898	33.4856   	26.384666	25.7086   	
13.517226	33.4407   	26.369530	25.7834   	
13.539466	33.3957   	26.354179	25.8582   	
13.561617	33.3507   	26.338615	25.9331   	
13.583678	33.3057   	26.322838	26.0081   	
13.605650	33.2606   	26.306851	26.0832   	
13.627532	33.2155   	26.290653	26.1583   	
13.649324	33.1704   	26.274246	26.2335   	
13.671025	33.1252   	26.257632	26.3088   	
13.692636	33.0799   	26.240810	26.3841   	
13.714155	33.0346   	26.223782	26.4595   	
13.735583	32.9893   	26.206550	26.535    	
13.756918	32.944    	26.189113	26.6105   	
13.778162	32.8986   	26.171473	26.6861   	
13.799313	32.8532   	26.153632	26.7617   	
13.820371	32.8077   	26.135589	26.8374   	
13.841336	32.7622   	26.117347	26.9132   	
13.862207	32.7167   	26.098906	26.989    	
13.882984	32.6711   	26.080266	27.0649   	
13.903667	32.6255   	26.061430	27.1408   	
13.924256	32.5799   	26.042398	27.2168   	
13.944749	32.5342   	26.023171	27.2929   	
13.965148	32.4885   	26.003749	27.369    	
13.985450	32.4428   	25.984135	27.4451   	
14.005657	32.397    	25.964328	27.5213   	
14.025767	32.3512   	25.944330	27.5976   	
14.045781	32.3054   	25.924142	27.6739   	
14.065698	32.2595   	25.903764	27.7503   	
14.085517	32.2136   	25.883198	27.8267   	
14.105239	32.1677   	25.862445	27.9031   	
14.124863	32.1218   	25.841505	27.9797   	
14.144388	32.0758   	25.820379	28.0562   	
14.163814	32.0298   	25.799069	28.1328   	
14.183142	31.9837   	25.777575	28.2095   	
14.202370	31.9377   	25.755898	28.2862   	
14.221498	31.8916   	25.734039	28.3629   	
14.240526	31.8455   	25.711999	28.4397   	
14.259453	31.7993   	25.689778	28.5166   	
14.278280	31.7531   	25.667379	28.5935   	
14.297006	31.707    	25.644801	28.6704   	
14.315629	31.6607   	25.622045	28.7473   	
14.334151	31.6145   	25.599113	28.8243   	
14.352571	31.5682   	25.576005	28.9014   	
14.370888	31.5219   	25.552722	28.9785   	
14.389102	31.4756   	25.529265	29.0556   	
14.407213	31.4293   	25.505635	29.1327   	
14.425220	31.3829   	25.481832	29.2099   	
14.443122	31.3365   	25.457858	29.2872   	
14.460921	31.2901   	25.433713	29.3644   	
14.478614	31.2437   	25.409399	29.4417   	
14.496203	31.1973   	25.384915	29.5191   	
14.513685	31.1508   	25.360263	29.5964   	
14.531062	31.1043   	25.335444	29.6738   	
14.548333	31.0578   	25.310458	29.7513   	
14.565497	31.0113   	25.285307	29.8287   	
14.582554	30.9648   	25.259990	29.9062   	
14.599503	30.9182   	25.234510	29.9838   	
14.616345	30.8717   	25.208866	30.0613   	
14.633079	30.8251   	25.183060	30.1389   	
14.649704	30.7785   	25.157092	30.2165   	
14.666220	30.7318   	25.130964	30.2941   	
14.682627	30.6852   	25.104675	30.3718   	
14.698925	30.6386   	25.078227	30.4495   	
14.715112	30.5919   	25.051620	30.5272   	
14.731189	30.5452   	25.024856	30.6049   	
14.747156	30.4985   	24.997934	30.6826   	
14.763011	30.4518   	24.970857	30.7604   	
14.778755	30.4051   	24.943624	30.8382   	
14.794387	30.3584   	24.916236	30.916    	
14.809906	30.3116   	24.888695	30.9938   	
14.825313	30.2649   	24.861000	31.0717   	
14.840607	30.2181   	24.833153	31.1496   	
14.855787	30.1713   	24.805154	31.2275   	
14.870854	30.1246   	24.777004	31.3054   	
14.885807	30.0778   	24.748704	31.3833   	
14.900645	30.031    	24.720254	31.4612   	
14.915368	29.9842   	24.691656	31.5391   	
14.929975	29.9373   	24.662910	31.6171   	
14.944467	29.8905   	24.634016	31.6951   	
14.958843	29.8437   	24.604976	31.7731   	
14.973102	29.7969   	24.575790	31.8511   	
14.987245	29.75     	24.546459	31.9291   	
15.001270	29.7032   	24.516983	32.0071   	
15.015178	29.6563   	24.487364	32.0851   	
15.028967	29.6094   	24.457602	32.1631   	
15.042638	29.5626   	24.427697	32.2412   	
15.056191	29.5157   	24.397651	32.3192   	
15.069624	29.4688   	24.367464	32.3972   	
15.082937	29.422    	24.337137	32.4753   	
15.096131	29.3751   	24.306670	32.5533   	
15.109203	29.3282   	24.276064	32.6314   	
15.122156	29.2813   	24.245320	32.7095   	
15.134987	29.2345   	24.214438	32.7875   	
15.147696	29.1876   	24.183419	32.8656   	
15.160283	29.1407   	24.152265	32.9437   	
15.172748	29.0938   	24.120974	33.0217   	
15.185090	29.047    	24.089549	33.0998   	
15.197309	29.0001   	24.057990	33.1778   	
15.209405	28.9532   	24.026297	33.2559   	
15.221376	28.9063   	23.994471	33.3339   	
15.233223	28.8595   	23.962513	33.412    	
15.244945	28.8126   	23.930423	33.49     	
15.256542	28.7657   	23.898202	33.5681   	
15.268013	28.7189   	23.865851	33.6461   	
15.279358	28.672    	23.833370	33.7241   	
15.290577	28.6252   	23.800760	33.8021   	
15.301669	28.5783   	23.768021	33.8801   	
15.312634	28.5315   	23.735155	33.9581   	
15.323471	28.4847   	23.702161	34.0361   	
15.334180	28.4378   	23.669041	34.1141   	
15.344760	28.391    	23.635795	34.192    	
15.355212	28.3442   	23.602423	34.27     	
15.365534	28.2974   	23.568927	34.3479   	
15.375727	28.2506   	23.535306	34.4258   	
15.385789	28.2038   	23.501562	34.5037   	
15.395721	28.1571   	23.467695	34.5816   	
15.405522	28.1103   	23.433706	34.6595   	
15.415192	28.0635   	23.399594	34.7373   	
15.424730	28.0168   	23.365362	34.8152   	
15.434135	27.9701   	23.331009	34.893    	
15.443408	27.9234   	23.296536	34.9708   	
15.452549	27.8767   	23.261943	35.0485   	
15.461555	27.83     	23.227232	35.1263   	
15.470428	27.7833   	23.192402	35.204    	
15.479166	27.7366   	23.157454	35.2817   	
15.487770	27.69     	23.122390	35.3594   	
15.496239	27.6433   	23.087209	35.4371   	
15.504572	27.5967   	23.051911	35.5147   	
15.512769	27.5501   	23.016499	35.5923   	
15.520830	27.5035   	22.980971	35.6699   	
15.528754	27.4569   	22.945329	35.7474   	
15.536540	27.4104   	22.909573	35.8249   	
15.544190	27.3639   	22.873705	35.9024   	
15.551701	27.3173   	22.837723	35.9799   	
15.559073	27.2708   	22.801629	36.0573   	
15.566307	27.2244   	22.765424	36.1347   	
15.573401	27.1779   	22.729107	36.2121   	
15.580356	27.1315   	22.692680	36.2894   	
15.587170	27.085    	22.656143	36.3667   	
15.593844	27.0386   	22.619496	36.444    	
15.600376	26.9922   	22.582741	36.5212   	
15.606768	26.9459   	22.545877	36.5984   	
15.613017	26.8996   	22.508905	36.6756   	
15.619124	26.8532   	22.471826	36.7527   	
15.625088	26.8069   	22.434640	36.8298   	
15.630909	26.7607   	22.397347	36.9068   	
15.636586	26.7144   	22.359949	36.9838   	
15.642120	26.6682   	22.322446	37.0608   	
15.647509	26.622    	22.284837	37.1377   	
15.652753	26.5759   	22.247125	37.2146   	
15.657851	26.5297   	22.209308	37.2914   	
15.662804	26.4836   	22.171388	37.3682   	
15.667611	26.4375   	22.133366	37.445    	
15.672271	26.3914   	22.095241	37.5217   	
15.676784	26.3454   	22.057014	37.5983   	
15.681149	26.2994   	22.018686	37.675    	
15.685367	26.2534   	21.980257	37.7515   	
15.689436	26.2075   	21.941728	37.828    	
15.693357	26.1616   	21.903099	37.9045   	
15.697128	26.1157   	21.864370	37.9809   	
15.700749	26.0698   	21.825543	38.0573   	
15.704221	26.024    	21.786617	38.1336   	
15.707542	25.9782   	21.747593	38.2099   	
15.710711	25.9324   	21.708472	38.2861   	
15.713730	25.8867   	21.669253	38.3622   	
15.716597	25.841    	21.629938	38.4383   	
15.719311	25.7953   	21.590527	38.5144   	
15.721873	25.7497   	21.551021	38.5904   	
15.724281	25.7041   	21.511419	38.6663   	
15.726536	25.6585   	21.471722	38.7422   	
15.728637	25.613    	21.431932	38.818    	
15.730583	25.5675   	21.392047	38.8938   	
15.732375	25.522    	21.352069	38.9695   	
15.734011	25.4766   	21.311998	39.0451   	
