! Reaction's Kinematics:  Alab & Alab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle of  10C [Lab-deg]	Y	
13.539466	26.3542   	
13.561617	26.3386   	
13.583678	26.3228   	
13.605650	26.3069   	
13.627532	26.2907   	
13.649324	26.2742   	
13.671025	26.2576   	
13.692636	26.2408   	
13.714155	26.2238   	
13.735583	26.2065   	
13.756918	26.1891   	
13.778162	26.1715   	
13.799313	26.1536   	
13.820371	26.1356   	
13.841336	26.1173   	
13.862207	26.0989   	
13.882984	26.0803   	
13.903667	26.0614   	
13.924256	26.0424   	
13.944749	26.0232   	
13.965148	26.0037   	
13.985450	25.9841   	
14.005657	25.9643   	
14.025767	25.9443   	
14.045781	25.9241   	
14.065698	25.9038   	
14.085517	25.8832   	
14.105239	25.8624   	
14.124863	25.8415   	
14.144388	25.8204   	
14.163814	25.7991   	
14.183142	25.7776   	
14.202370	25.7559   	
14.221498	25.734    	
14.240526	25.712    	
14.259453	25.6898   	
14.278280	25.6674   	
14.297006	25.6448   	
14.315629	25.622    	
14.334151	25.5991   	
14.352571	25.576    	
14.370888	25.5527   	
14.389102	25.5293   	
14.407213	25.5056   	
14.425220	25.4818   	
14.443122	25.4579   	
14.460921	25.4337   	
14.478614	25.4094   	
14.496203	25.3849   	
14.513685	25.3603   	
14.531062	25.3354   	
14.548333	25.3105   	
14.565497	25.2853   	
14.582554	25.26     	
14.599503	25.2345   	
14.616345	25.2089   	
14.633079	25.1831   	
14.649704	25.1571   	
14.666220	25.131    	
14.682627	25.1047   	
14.698925	25.0782   	
14.715112	25.0516   	
14.731189	25.0249   	
14.747156	24.9979   	
14.763011	24.9709   	
14.778755	24.9436   	
14.794387	24.9162   	
14.809906	24.8887   	
14.825313	24.861    	
14.840607	24.8332   	
14.855787	24.8052   	
14.870854	24.777    	
14.885807	24.7487   	
14.900645	24.7203   	
14.915368	24.6917   	
14.929975	24.6629   	
14.944467	24.634    	
14.958843	24.605    	
14.973102	24.5758   	
14.987245	24.5465   	
15.001270	24.517    	
15.015178	24.4874   	
15.028967	24.4576   	
15.042638	24.4277   	
15.056191	24.3977   	
15.069624	24.3675   	
15.082937	24.3371   	
15.096131	24.3067   	
15.109203	24.2761   	
15.122156	24.2453   	
15.134987	24.2144   	
15.147696	24.1834   	
15.160283	24.1523   	
15.172748	24.121    	
15.185090	24.0895   	
15.197309	24.058    	
15.209405	24.0263   	
15.221376	23.9945   	
15.233223	23.9625   	
15.244945	23.9304   	
15.256542	23.8982   	
15.268013	23.8659   	
15.279358	23.8334   	
15.290577	23.8008   	
15.301669	23.768    	
15.312634	23.7352   	
15.323471	23.7022   	
15.334180	23.669    	
15.344760	23.6358   	
15.355212	23.6024   	
15.365534	23.5689   	
15.375727	23.5353   	
15.385789	23.5016   	
15.395721	23.4677   	
15.405522	23.4337   	
15.415192	23.3996   	
15.424730	23.3654   	
15.434135	23.331    	
15.443408	23.2965   	
15.452549	23.2619   	
15.461555	23.2272   	
15.470428	23.1924   	
15.479166	23.1575   	
15.487770	23.1224   	
15.496239	23.0872   	
15.504572	23.0519   	
15.512769	23.0165   	
15.520830	22.981    	
15.528754	22.9453   	
15.536540	22.9096   	
15.544190	22.8737   	
15.551701	22.8377   	
15.559073	22.8016   	
15.566307	22.7654   	
15.573401	22.7291   	
15.580356	22.6927   	
15.587170	22.6561   	
15.593844	22.6195   	
15.600376	22.5827   	
15.606768	22.5459   	
15.613017	22.5089   	
15.619124	22.4718   	
15.625088	22.4346   	
15.630909	22.3973   	
15.636586	22.3599   	
15.642120	22.3224   	
15.647509	22.2848   	
15.652753	22.2471   	
15.657851	22.2093   	
15.662804	22.1714   	
15.667611	22.1334   	
15.672271	22.0952   	
15.676784	22.057    	
15.681149	22.0187   	
15.685367	21.9803   	
15.689436	21.9417   	
15.693357	21.9031   	
15.697128	21.8644   	
15.700749	21.8255   	
15.704221	21.7866   	
15.707542	21.7476   	
15.710711	21.7085   	
15.713730	21.6693   	
15.716597	21.6299   	
15.719311	21.5905   	
15.721873	21.551    	
15.724281	21.5114   	
15.726536	21.4717   	
15.728637	21.4319   	
15.730583	21.392    	
15.732375	21.3521   	
15.734011	21.312    	
15.735491	21.2718   	
15.736816	21.2316   	
15.737983	21.1912   	
15.738994	21.1508   	
15.739847	21.1103   	
15.740542	21.0696   	
15.741078	21.0289   	
15.741456	20.9881   	
15.741675	20.9473   	
15.741733	20.9063   	
15.741632	20.8652   	
15.741370	20.8241   	
15.740947	20.7828   	
15.740363	20.7415   	
15.739617	20.7001   	
15.738708	20.6586   	
15.737637	20.617    	
15.736402	20.5753   	
15.735004	20.5336   	
15.733441	20.4917   	
15.731714	20.4498   	
15.729823	20.4078   	
15.727765	20.3657   	
15.725542	20.3236   	
15.723153	20.2813   	
15.720597	20.239    	
15.717874	20.1966   	
15.714983	20.1541   	
15.711925	20.1115   	
15.708697	20.0688   	
15.705301	20.0261   	
15.701736	19.9833   	
15.698001	19.9404   	
15.694096	19.8974   	
15.690020	19.8543   	
15.685773	19.8112   	
15.681355	19.768    	
15.676764	19.7247   	
15.672002	19.6813   	
15.667067	19.6379   	
15.661958	19.5944   	
15.656676	19.5508   	
15.651220	19.5071   	
15.645589	19.4634   	
15.639783	19.4195   	
15.633802	19.3757   	
15.627646	19.3317   	
15.621313	19.2876   	
15.614803	19.2435   	
15.608117	19.1993   	
15.601253	19.1551   	
15.594211	19.1108   	
15.586991	19.0663   	
15.579592	19.0219   	
15.572014	18.9773   	
15.564257	18.9327   	
15.556319	18.888    	
15.548201	18.8433   	
15.539903	18.7984   	
15.531423	18.7535   	
15.522761	18.7086   	
15.513918	18.6635   	
